what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785677533515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785677537521
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785677540082
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1785677540089
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785677540142
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1785677540757
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1785677548487
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785677553801
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785677553806
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1785677553806
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785677558174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785677560330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785677561451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785677595042
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785677595174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785677598274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785677648685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785677649841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785677668583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785677668664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785678297566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785678303946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785678314742
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785678316522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785678320543
