what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1785874620219
java.version,sysinfo,,,"1.6.0_23",1785874620219
java.vm.info,sysinfo,,,"mixed mode",1785874620219
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1785874620219
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1785874620219
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1785874620219
java.vm.specification.version,sysinfo,,,"1.0",1785874620219
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1785874620219
java.vm.version,sysinfo,,,"19.0-b09",1785874620219
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785874639787
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785874648473
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1785874653987
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1785874653996
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1785874654118
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1785874654121
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1785874654121
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1785874654122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874654309
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1785874685167
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1785874685185
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1785874685832
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1785874686366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874690757
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1785874720539
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1785874720541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874729447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874731478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874737525
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1785874739841
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1785874739844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874752369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1785874752379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874752701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874752787
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785874758404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874760059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874766310
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785874767871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874771577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874782299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874782859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874786289
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1785874836979
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1785874836981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874838395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874839564
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1785874845362
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1785874847557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874847750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874869548
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785874869563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874874461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874875598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874881733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874913409
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785874913428
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785874914111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874915901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874926703
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785874932077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874940443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874942556
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785874945671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874947288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874975593
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785874975606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874979843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785874985100
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785874999179
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785875001151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785875015153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785875016267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785875022482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785875024838
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785875024850
