what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839822616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839837279
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839838966
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785839840719
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785839840737
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839844856
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785839845035
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785839845066
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785839855263
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785839855263
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785839856171
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785839856171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839862397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839872751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839873432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839876998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785839996453
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1785840003207
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1785840005267
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1785840005442
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1785840009101
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1785840009115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840022089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1785840022106
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785840026686
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785840026695
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785840027774
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785840030957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1785840033379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785840033821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840034959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840035074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840035684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840060401
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785840062103
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785840068450
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785840071106
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785840071106
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785840074337
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785840074355
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1785840074391
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785840074419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840077554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840089489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840090175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840093629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840144350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840151198
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785840151215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840153135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1785840153165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840154998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840155742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840168674
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785840168689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840175564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840218646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1785840218694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840234724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785840242228
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785840242546
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785840242560
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1785840283964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1785840286531
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785840288384
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785840288384
