what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1785688314092
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1785688314092
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1785688314092
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1785688314092
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1785688314092
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1785688314092
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1785688314092
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1785688314092
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1785688314092
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1785688314092
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1785688314092
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1785688314092
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1785688314092
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1785688314092
os,sysinfo,,,"win32",1785688314092
arch,sysinfo,,,"x86",1785688314092
ws,sysinfo,,,"win32",1785688314092
locale,sysinfo,,,"en_GB",1785688314092
processors,sysinfo,,,"20",1785688314092
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1785688314092
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1785688314092
java.specification.name,sysinfo,,,"Java Platform API Specification",1785688314092
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1785688314092
java.specification.version,sysinfo,,,"1.6",1785688314092
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1785688314092
java.version,sysinfo,,,"1.6.0_23",1785688314092
java.vm.info,sysinfo,,,"mixed mode",1785688314092
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1785688314092
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1785688314092
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1785688314092
java.vm.specification.version,sysinfo,,,"1.0",1785688314092
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1785688314092
java.vm.version,sysinfo,,,"19.0-b09",1785688314092
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1785688314138
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785688321044
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1785688321333
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1785688321423
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1785688321434
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1785688321449
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1785688324565
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1785688324571
