what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1785668122322
java.version,sysinfo,,,"1.6.0_23",1785668122322
java.vm.info,sysinfo,,,"mixed mode",1785668122322
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1785668122322
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1785668122322
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1785668122322
java.vm.specification.version,sysinfo,,,"1.0",1785668122322
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1785668122322
java.vm.version,sysinfo,,,"19.0-b09",1785668122322
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785668123007
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1785668123591
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1785668123606
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1785668123606
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1785668123751
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1785668123768
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1785668123783
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1785668123796
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1785668124328
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785668130327
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1785668131692
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1785668131692
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1785668131696
