what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785838483438
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785838485264
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785838485684
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785838491212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838499564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838501081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838502463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838509202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838511024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838513781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838526768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838528370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838529025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838530959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838535036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838539935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838541397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838542341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785838545151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838546618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838548638
