what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_23",1785803862567
java.vm.info,sysinfo,,,"mixed mode",1785803862567
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1785803862567
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1785803862567
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1785803862567
java.vm.specification.version,sysinfo,,,"1.0",1785803862567
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1785803862567
java.vm.version,sysinfo,,,"19.0-b09",1785803862567
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1785803862576
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1785803875825
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1785803875825
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1785803875934
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1785803875940
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1785803875940
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1785803875942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803876158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1785803880589
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1785803901176
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1785803901195
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1785803901809
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1785803902350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803906735
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785803916653
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1785803916965
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1785803916965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803918244
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1785803920473
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1785803920476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803931902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1785803931905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803932185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803932234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803938127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803951788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803952331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803955836
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1785803959647
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1785803959663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803962098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803963343
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785803964198
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1785803964213
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785803966214
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1785803966584
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1785803966584
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x89030, --id=0x0, --timestamp=1785803362, /cygdrive/c/Users/ryanm/OneDrive/Desktop/ELEC374Ass4/niosII_hw_dev_tutorial/niosII_hw_dev_tutorial/software/BinCount/BinCount.elf] return code: 4, 'other error'",1785803971758
error,log,,,"Downloading ELF Process failed",1785803971762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803971775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803980081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803981394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803982646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785803983176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804351704
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785804358495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804360140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804366632
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785804367380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804370453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804371746
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785804372070
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785804374122
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785804374504
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785804379659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804410433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804459207
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785804461885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804465723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804478678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804478714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804482160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804502025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804503282
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785804504236
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785804506350
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785804506970
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785804513262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785804531450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804532871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804553701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785804553888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805086250
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785805087800
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785805092940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805094594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805109220
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785805110959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805115141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805117294
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785805117861
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785805120944
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785805121416
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785805128741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805149457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805213125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785805296835
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785805301727
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785805313816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805315632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805324666
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785805325955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805336029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805337766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805342849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805344894
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785805345432
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785805348457
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785805348943
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785805355109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805363458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805364948
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785805365124
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1785805365665
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1785805365665
