what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1785879359351
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1785879359351
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1785879359351
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1785879359351
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1785879359351
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1785879359351
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1785879359351
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1785879359351
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1785879359351
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1785879359351
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1785879359351
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1785879359351
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1785879359351
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1785879359351
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1785879359351
os,sysinfo,,,"win32",1785879359351
arch,sysinfo,,,"x86",1785879359351
ws,sysinfo,,,"win32",1785879359351
locale,sysinfo,,,"en_GB",1785879359351
processors,sysinfo,,,"20",1785879359351
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1785879359351
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1785879359351
java.specification.name,sysinfo,,,"Java Platform API Specification",1785879359351
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1785879359351
java.specification.version,sysinfo,,,"1.6",1785879359351
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1785879359351
java.version,sysinfo,,,"1.6.0_23",1785879359351
java.vm.info,sysinfo,,,"mixed mode",1785879359351
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1785879359351
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1785879359351
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1785879359351
java.vm.specification.version,sysinfo,,,"1.0",1785879359351
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1785879359351
java.vm.version,sysinfo,,,"19.0-b09",1785879359351
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1785879363515
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1785879368115
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785879368306
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1785879368384
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1785879368384
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1785879368399
