what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785834987646
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785834991289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785834991576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785834997131
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1785834997716
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1785834997733
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1785834997733
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1785834997733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785834997757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835005574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835009693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835021342
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785835022168
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785835023850
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1785835023850
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1785835027776
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1785835027792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835028707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835029729
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785835032312
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1785835032326
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785835034183
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1785835034631
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1785835034637
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785835061477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835064386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835064454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835066173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835085186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785835095434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835101552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835106416
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785835111720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835113936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835115332
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785835115400
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1785835336459
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1785835336459
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1785835336459
